Comment,Designator,Footprint,LCSC Part Number
.1uF,"C36, C43, C45",0603,C1591
0.1uF,"C13, C14, C15, C16, C18, C20, C21, C23, C24, C25, C26, C27, C28, C29, C33",0603,C1591
33nF,C37,0603,C21117
10uF,C31,0805,C1713
1uF,C17,0603,C5673
2.2uF,"C30, C32",0603,C71000
4.7uF,"C40, C42",0805,C1779
Dual TVS Diode,D33,SOT-23,C6952426
33.2v TVS Diode,D24,SMB,C88377
3v3 Fuse,F4,1206,C70071
4.7uH,L2,,C1329517
SISS27DN-T1-GE3,"Q1, Q2, Q7, Q8, Q9, Q13, Q14, Q15",,C506609
10k,"R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R42, R43, R44, R46, R49, R51, R55, R56, R57, R58, R66, R67, R70, R71, R77",0603,C2479067
1k,"R69, R72, R74, R75",0603,C2484712
220,R54,0603,C2479616
TMCS1108A3UQDR Current Sensor,"U7, U10, U11, U12, U13, U16, U19, U20, U24",SOIC-8,C3684263
TPS62933 ,U23,SOT-583,C3200405
SN65HVD230,U22,SOIC-8,C12084
TS3704 Comparator,"U14, U18",TSSOP-14,C75832
STM32F407VET6 Microcontroller,U15,LQFP-100,C28730
