Comment,Designator,Footprint,LCSC Part Number
.1uF,"C36, C43",0603,C1591
0.1uF,"C15, C16, C18, C21, C23, C24, C28, C29",0603,C1591
33nF,C37,0603,C21117
10uF,C31,0805,C1713
1uF,C17,0603,C5673
2.2uF,"C30, C32",0603,C71000
4.7uF,"C40, C42",0805,C1779
4.7uH,L2,,C1329517
10k,"R51, R77",0603,C2479067
220,R54,0603,C2479616
TPS62933 ,U23,SOT-583,C3200405
STM32F407VET6 Microcontroller,U15,LQFP-100,C28730
