Designator,Val,Package,MidX,MidY,Rotation,Layer
R58,10k,R_0603_1608Metric,195.635,-162.385,180,bottom
R66,10k,R_0603_1608Metric,169.5,-152.25,90,bottom
R67,10k,R_0603_1608Metric,167.275,-158.64,180,bottom
R70,10k,R_0603_1608Metric,162.095,-158.16,180,bottom
R71,10k,R_0603_1608Metric,159.79,-152.15,90,bottom
R76,30.9k,R_0603_1608Metric,219.375,-174.62,180,bottom
R77,10k,R_0603_1608Metric,219.375,-176.27,0,bottom
U7,TMCS1108A3UQDR,SOIC-8_3.9x4.9mm_P1.27mm,182.76,-109.285,180,bottom
U8,CD4043B,SOIC-16_3.9x9.9mm_P1.27mm,166.72,-108.22,180,bottom
U9,4081,TSSOP-14_4.4x5mm_P0.65mm,174.11,-113.8825,90,bottom
U10,TMCS1108A3UQDR,SOIC-8_3.9x4.9mm_P1.27mm,182.76,-100.585,180,bottom
U11,TMCS1108A3UQDR,SOIC-8_3.9x4.9mm_P1.27mm,182.76,-126.685,180,bottom
U12,TMCS1108A3UQDR,SOIC-8_3.9x4.9mm_P1.27mm,182.76,-117.985,180,bottom
U13,TMCS1108A3UQDR,SOIC-8_3.9x4.9mm_P1.27mm,182.76,-135.385,180,bottom
U14,TS3704,TSSOP-14_4.4x5mm_P0.65mm,162.7175,-118.07,0,bottom
U15,STM32F407VETx,LQFP-100_14x14mm_P0.5mm,153.26,-138.855,-90,bottom
U16,TMCS1108A3UQDR,SOIC-8_3.9x4.9mm_P1.27mm,182.76,-152.785,180,bottom
U17,CD4043B,SOIC-16_3.9x9.9mm_P1.27mm,174.535,-158.805,0,bottom
U18,TS3704,TSSOP-14_4.4x5mm_P0.65mm,173.21,-146.91,180,bottom
U19,TMCS1108A3UQDR,SOIC-8_3.9x4.9mm_P1.27mm,182.76,-144.085,180,bottom
U20,TMCS1108A3UQDR,SOIC-8_3.9x4.9mm_P1.27mm,182.76,-161.485,180,bottom
U21,4081,TSSOP-14_4.4x5mm_P0.65mm,164.7825,-154.57,180,bottom
U23,TPS62933,SOT-583,217.15,-178.51,90,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,152.65,-126.13,0,bottom
